      time,           p [     12.8     0.225         0],           p [    14.08     0.225         0],           p [    15.64     0.225         0],           p [     17.2     0.225         0],           p [    18.76     0.225         0],           p [    20.32     0.225         0],           p [    21.88     0.225         0],           p [    23.44     0.225         0],           p [       25     0.225         0],           p [    26.56     0.225         0],           p [    28.12     0.225         0],           p [    29.68     0.225         0],           p [    31.24     0.225         0],           p [     32.8     0.225         0],           p [    34.36     0.225         0],           p [    35.92     0.225         0],           p [    37.48     0.225         0],           p [    39.04     0.225         0],           p [     40.6     0.225         0],           p [    42.16     0.225         0],           p [    43.72     0.225         0],           p [    45.28     0.225         0]
0.0000e+00,                    2.208714633000000504e+03,                    2.208714718632285894e+03,                    2.208714633000000504e+03,                    2.208714640412071276e+03,                    2.208714633000000049e+03,                    2.208714633000000504e+03,                    2.208714633000000958e+03,                    2.208714633000000504e+03,                    2.208714633000000504e+03,                    2.208714633000000958e+03,                    2.208714633000001413e+03,                    2.208714633000000504e+03,                    2.208714633000000504e+03,                    2.208714633000000958e+03,                    2.208714633000000049e+03,                    2.208714871082621812e+03,                    2.208714633000000504e+03,                    2.208714633000000504e+03,                    2.208715296387961189e+03,                    2.208714633000000049e+03,                    2.208714633000000049e+03,                    2.208714654909470482e+03
1.0000e-03,                    2.194683806112087041e+03,                    2.193606574471738895e+03,                    2.194146823736088209e+03,                    2.193718191512164594e+03,                    2.194689615072054494e+03,                    2.195580201695770484e+03,                    2.194638979639993522e+03,                    2.194345664128095450e+03,                    2.194134179992145619e+03,                    2.193227396829410281e+03,                    2.195524696733973542e+03,                    2.196167412294831593e+03,                    2.195310745312708605e+03,                    2.195411742231357039e+03,                    2.192297463198584865e+03,                    2.194978675339845267e+03,                    2.193206480787731834e+03,                    2.195756192122191351e+03,                    2.194196894465507285e+03,                    2.194644616984909135e+03,                    2.193814745077111183e+03,                    2.194508790569709163e+03
3.0000e-03,                    2.196864796595402368e+03,                    2.199598418871614740e+03,                    2.198793708590977076e+03,                    2.194572133842852054e+03,                    2.201216837400532768e+03,                    2.200133009984360797e+03,                    2.198701423566115864e+03,                    2.202634979074183320e+03,                    2.198642195855775753e+03,                    2.195696041997482098e+03,                    2.201138055876197996e+03,                    2.207321349649167132e+03,                    2.203246582971537464e+03,                    2.200471592925640380e+03,                    2.191246033312623695e+03,                    2.198276436093830853e+03,                    2.197439542150819761e+03,                    2.203779035398031283e+03,                    2.198672388058993420e+03,                    2.202895233558844211e+03,                    2.198517191115869082e+03,                    2.198634823886031882e+03
7.0000e-03,                    2.196983656955192600e+03,                    2.199880008784392885e+03,                    2.199200376468008471e+03,                    2.194780703641993568e+03,                    2.201562363871076741e+03,                    2.200505382440713220e+03,                    2.198788421868491696e+03,                    2.203180658509056684e+03,                    2.199058907442903092e+03,                    2.196083682270916597e+03,                    2.201162443899773280e+03,                    2.207774907711960623e+03,                    2.203650504248334983e+03,                    2.200960929202096395e+03,                    2.191264014040874827e+03,                    2.198413282282444925e+03,                    2.197576326923986926e+03,                    2.204259221336754308e+03,                    2.198925258079490050e+03,                    2.203332233418583655e+03,                    2.198935075105554006e+03,                    2.198848214561085115e+03
1.5000e-02,                    2.196982535150854346e+03,                    2.199789646160650591e+03,                    2.199139979184601088e+03,                    2.194736265007261409e+03,                    2.201588907510807076e+03,                    2.200531025301622321e+03,                    2.198786169340330616e+03,                    2.203104326583485999e+03,                    2.199014901257339261e+03,                    2.196110943680750552e+03,                    2.201174573383210827e+03,                    2.207795512142460211e+03,                    2.203683744772796217e+03,                    2.201049014850244021e+03,                    2.191331644995003444e+03,                    2.198457039911420907e+03,                    2.197602245057150867e+03,                    2.204286210438918260e+03,                    2.198987749066884135e+03,                    2.203439182941603121e+03,                    2.198888252282650228e+03,                    2.198889864818222122e+03
3.1000e-02,                    2.197068067854344463e+03,                    2.200002389346584096e+03,                    2.199312204818938426e+03,                    2.194987474952449702e+03,                    2.201740869078006654e+03,                    2.200637506327814663e+03,                    2.198934614059527576e+03,                    2.203194284423469071e+03,                    2.199072995178411475e+03,                    2.196205156146890204e+03,                    2.201346963500676793e+03,                    2.207812770382307463e+03,                    2.203789064636209787e+03,                    2.201101712168122958e+03,                    2.191479083753930354e+03,                    2.198619551223132930e+03,                    2.197721541115651235e+03,                    2.204339476412307704e+03,                    2.199049909144056983e+03,                    2.203557836284535824e+03,                    2.198918931720008459e+03,                    2.198924678044909797e+03
6.3000e-02,                    2.197492994342635029e+03,                    2.200578634169040470e+03,                    2.199686610460203156e+03,                    2.195701115254599699e+03,                    2.202158953223958633e+03,                    2.201050311008616518e+03,                    2.199234934012321901e+03,                    2.203390915842932827e+03,                    2.199230471210422365e+03,                    2.196618901555744742e+03,                    2.201592447092937618e+03,                    2.207906007436066830e+03,                    2.203935065096312428e+03,                    2.201433571564200065e+03,                    2.191938550445814144e+03,                    2.199185996115804301e+03,                    2.198190526957579095e+03,                    2.204622548052525417e+03,                    2.199349902617750558e+03,                    2.204046458332326893e+03,                    2.199182419829218361e+03,                    2.199281901685516004e+03
1.0689e-01,                    2.201599850249881911e+03,                    2.205190079865955795e+03,                    2.203785077311154055e+03,                    2.200637072403779712e+03,                    2.206243018045355257e+03,                    2.205550332834068740e+03,                    2.203402624763954464e+03,                    2.207156017420841636e+03,                    2.203139870946752126e+03,                    2.200890526683813277e+03,                    2.206029467147328432e+03,                    2.211139532740884533e+03,                    2.207462635317231161e+03,                    2.205226083561444284e+03,                    2.196545041206155929e+03,                    2.203606372499153167e+03,                    2.202745663900215277e+03,                    2.208577278066058170e+03,                    2.203275685906031867e+03,                    2.208230595446290408e+03,                    2.202957268694026425e+03,                    2.203194103188924601e+03
1.3670e-01,                    2.212814477827745577e+03,                    2.217454942109809053e+03,                    2.216430714230934882e+03,                    2.213805651671432315e+03,                    2.217686225382676639e+03,                    2.218091375734513349e+03,                    2.214274951352787866e+03,                    2.218488508670246574e+03,                    2.215150411925471417e+03,                    2.213143933328200546e+03,                    2.218315871674147274e+03,                    2.221202690784862170e+03,                    2.218338910675004627e+03,                    2.216919588894820208e+03,                    2.209900016316814799e+03,                    2.215624511216827159e+03,                    2.215277537110972844e+03,                    2.220259202970152728e+03,                    2.214282442061055008e+03,                    2.220581139130717929e+03,                    2.215035773980822341e+03,                    2.214426788575056889e+03
1.6579e-01,                    2.207252394541593731e+03,                    2.211160638434224438e+03,                    2.210972248667521853e+03,                    2.209330753712686601e+03,                    2.211869615591004276e+03,                    2.212450139350130485e+03,                    2.209068213445337733e+03,                    2.211979033506668202e+03,                    2.209470747397479499e+03,                    2.207758632806324385e+03,                    2.210589181701811412e+03,                    2.214566720388145313e+03,                    2.212383908666899515e+03,                    2.211680977520128181e+03,                    2.203863516983131831e+03,                    2.210542843263844588e+03,                    2.210076303577107865e+03,                    2.213834291074991143e+03,                    2.208559113675189565e+03,                    2.214385668798975530e+03,                    2.208743803644943000e+03,                    2.209028938661057509e+03
1.8339e-01,                    2.216050507995059434e+03,                    2.220488739377442926e+03,                    2.221311398316484883e+03,                    2.219569045307631313e+03,                    2.221182412615866269e+03,                    2.222329722416554887e+03,                    2.217610956554272889e+03,                    2.221311784860371517e+03,                    2.219307631343506728e+03,                    2.217795138000924453e+03,                    2.220803425133492055e+03,                    2.222773279703733351e+03,                    2.221427558677999514e+03,                    2.221434355507949022e+03,                    2.214496188483939022e+03,                    2.220861106791704515e+03,                    2.220595960186123648e+03,                    2.223149306444073318e+03,                    2.217637090137971427e+03,                    2.224482083040472844e+03,                    2.218504085845724148e+03,                    2.217857769791118699e+03
2.0100e-01,                    2.207310607504809923e+03,                    2.210740642123847920e+03,                    2.211726599921763864e+03,                    2.211358973915012029e+03,                    2.212091363261071820e+03,                    2.213175032960156841e+03,                    2.210290582590065696e+03,                    2.211847319408187104e+03,                    2.210112289029709700e+03,                    2.208889099810560765e+03,                    2.211025109480788615e+03,                    2.213278270546853491e+03,                    2.212337662194722725e+03,                    2.212582406185210402e+03,                    2.204645555534790674e+03,                    2.212024804007874536e+03,                    2.211772919964032553e+03,                    2.213494754865160758e+03,                    2.208662408440422951e+03,                    2.214952016458217258e+03,                    2.208712489581660520e+03,                    2.209213772799831531e+03
2.2831e-01,                    2.202893453730244801e+03,                    2.206059320981260498e+03,                    2.206950300099535525e+03,                    2.207810208147684989e+03,                    2.206651990454397946e+03,                    2.207943124306090340e+03,                    2.205896918035606632e+03,                    2.206357350478322132e+03,                    2.205098967009199441e+03,                    2.204524879020097160e+03,                    2.205606612801175288e+03,                    2.207776394695652016e+03,                    2.207390119528839023e+03,                    2.208031113891647692e+03,                    2.199143993625849816e+03,                    2.207798185195671067e+03,                    2.207598082150400387e+03,                    2.208221262903887691e+03,                    2.203859067329609388e+03,                    2.209419442122598412e+03,                    2.203041197243414899e+03,                    2.205061533050500202e+03
2.5412e-01,                    2.208908650896330983e+03,                    2.212650922572200216e+03,                    2.214313484366216471e+03,                    2.215508765113708250e+03,                    2.212267254114758543e+03,                    2.214505288857682444e+03,                    2.212275956374758152e+03,                    2.212666329365065849e+03,                    2.211906840716594161e+03,                    2.211537185443064118e+03,                    2.211748474867686127e+03,                    2.212808721404252537e+03,                    2.213454236184981710e+03,                    2.214764825911936441e+03,                    2.207084202714161165e+03,                    2.214050374838361677e+03,                    2.214587437130142462e+03,                    2.214290205275109656e+03,                    2.210076321032061514e+03,                    2.215952866447929864e+03,                    2.209467435465837298e+03,                    2.211354795542963529e+03
2.7933e-01,                    2.208689904120413303e+03,                    2.212326818055726108e+03,                    2.215147969258125158e+03,                    2.216647441789604727e+03,                    2.211573824652788971e+03,                    2.214610547965489786e+03,                    2.212116050237737454e+03,                    2.212011081288125752e+03,                    2.215175066487793629e+03,                    2.212069785731050615e+03,                    2.211409225014210733e+03,                    2.211758916262598177e+03,                    2.213080647943055283e+03,                    2.214858875381617963e+03,                    2.206919278255450081e+03,                    2.214773150033663569e+03,                    2.215241368908406002e+03,                    2.213763382485435613e+03,                    2.209967045851945841e+03,                    2.215652152802139426e+03,                    2.209304534740701456e+03,                    2.211437463346148434e+03
3.0391e-01,                    2.208843281433916673e+03,                    2.212371728740255548e+03,                    2.216371411012218687e+03,                    2.218282662634046574e+03,                    2.211303838829342567e+03,                    2.215061137318331475e+03,                    2.212468198955969910e+03,                    2.212236131877077241e+03,                    2.216039385244464484e+03,                    2.213180069623023883e+03,                    2.209294601859356135e+03,                    2.211180572376752025e+03,                    2.213382474172874026e+03,                    2.214066535505188767e+03,                    2.207557471108878417e+03,                    2.216251599726513177e+03,                    2.216291622268542142e+03,                    2.213690809554742373e+03,                    2.210440216609762047e+03,                    2.215841177333910764e+03,                    2.209453343565458908e+03,                    2.211884410716241291e+03
3.2809e-01,                    2.208817647926501650e+03,                    2.212378941828968891e+03,                    2.217452333557479960e+03,                    2.219003637074402832e+03,                    2.210199860246149001e+03,                    2.215589814174079947e+03,                    2.212729996632650455e+03,                    2.212202127458685936e+03,                    2.216534632616768704e+03,                    2.214110720361923995e+03,                    2.209249993589039605e+03,                    2.210398832265603687e+03,                    2.213518880772056946e+03,                    2.214947774270966420e+03,                    2.207595974557068530e+03,                    2.217269133542298277e+03,                    2.217650283070940077e+03,                    2.213447918012000173e+03,                    2.210701811989767521e+03,                    2.215810330677848469e+03,                    2.209746991743578292e+03,                    2.211854425270991214e+03
3.5198e-01,                    2.208656448331132196e+03,                    2.212343139885977052e+03,                    2.218544911784898432e+03,                    2.220225857497234756e+03,                    2.210127587330406186e+03,                    2.215934319785774278e+03,                    2.212679939930115779e+03,                    2.212092004614417419e+03,                    2.217100010483906772e+03,                    2.215086911434954800e+03,                    2.209356862010912209e+03,                    2.209842846282653682e+03,                    2.213730282991076820e+03,                    2.215656988776302114e+03,                    2.208173887455451222e+03,                    2.217900904013954005e+03,                    2.218136980615387074e+03,                    2.213278703448057513e+03,                    2.211160895348413305e+03,                    2.215897370712729753e+03,                    2.209905756339923300e+03,                    2.212075028884974017e+03
