      time,           p [     12.8     0.225         0],           p [    14.08     0.225         0],           p [    15.64     0.225         0],           p [     17.2     0.225         0],           p [    18.76     0.225         0],           p [    20.32     0.225         0],           p [    21.88     0.225         0],           p [    23.44     0.225         0],           p [       25     0.225         0],           p [    26.56     0.225         0],           p [    28.12     0.225         0],           p [    29.68     0.225         0],           p [    31.24     0.225         0],           p [     32.8     0.225         0],           p [    34.36     0.225         0],           p [    35.92     0.225         0],           p [    37.48     0.225         0],           p [    39.04     0.225         0],           p [     40.6     0.225         0],           p [    42.16     0.225         0],           p [    43.72     0.225         0],           p [    45.28     0.225         0]
0.0000e+00,                    2.208714633000000504e+03,                    2.208714718632285894e+03,                    2.208714633000000504e+03,                    2.208714640412071276e+03,                    2.208714633000000049e+03,                    2.208714633000000504e+03,                    2.208714633000000958e+03,                    2.208714633000000504e+03,                    2.208714633000000504e+03,                    2.208714633000000958e+03,                    2.208714633000001413e+03,                    2.208714633000000504e+03,                    2.208714633000000504e+03,                    2.208714633000000958e+03,                    2.208714633000000049e+03,                    2.208714871082621812e+03,                    2.208714633000000504e+03,                    2.208714633000000504e+03,                    2.208715296387961189e+03,                    2.208714633000000049e+03,                    2.208714633000000049e+03,                    2.208714654909470482e+03
1.0000e-03,                    2.194683809572831251e+03,                    2.193606574513125452e+03,                    2.194146823736273291e+03,                    2.193718191512165504e+03,                    2.194689615072054949e+03,                    2.195580201695770484e+03,                    2.194638979639993522e+03,                    2.194345664128095450e+03,                    2.194134179992145619e+03,                    2.193227396829409827e+03,                    2.195524696733973542e+03,                    2.196167412294845690e+03,                    2.195310745315885470e+03,                    2.195411742937276813e+03,                    2.192297619249582567e+03,                    2.194987227318790246e+03,                    2.193206516033467778e+03,                    2.195756192281618041e+03,                    2.194196894468727351e+03,                    2.194644617540727268e+03,                    2.193814867866589793e+03,                    2.194513023994606101e+03
3.0000e-03,                    2.196864761858141719e+03,                    2.199598417881336445e+03,                    2.198793708581259580e+03,                    2.194572133842768380e+03,                    2.201216837400531858e+03,                    2.200133009984360797e+03,                    2.198701423566077210e+03,                    2.202634979072379792e+03,                    2.198642195708297550e+03,                    2.195696042000764010e+03,                    2.201138055876246199e+03,                    2.207321349649349031e+03,                    2.203246582994927394e+03,                    2.200471595953928954e+03,                    2.191246418525306581e+03,                    2.198288961132829627e+03,                    2.197439637777602002e+03,                    2.203779036211707535e+03,                    2.198672389888476573e+03,                    2.202895412473691067e+03,                    2.198529580133867512e+03,                    2.197531572400120240e+03
7.0000e-03,                    2.196983620654838433e+03,                    2.199880007622859921e+03,                    2.199200376454963134e+03,                    2.194780703641866239e+03,                    2.201562363871075377e+03,                    2.200505382440709582e+03,                    2.198788421868115165e+03,                    2.203180658487720848e+03,                    2.199058906961392040e+03,                    2.196083682280906942e+03,                    2.201162443899934260e+03,                    2.207774907710524076e+03,                    2.203650504081825147e+03,                    2.200960912267411004e+03,                    2.191262947603088378e+03,                    2.198428397151489662e+03,                    2.197575947474845634e+03,                    2.204259217123370036e+03,                    2.198925260882210750e+03,                    2.203332456912476118e+03,                    2.198947245871984705e+03,                    2.197644753877083531e+03
1.5000e-02,                    2.196982495561701398e+03,                    2.199789644904694796e+03,                    2.199139979170350671e+03,                    2.194736265007113616e+03,                    2.201588907510806166e+03,                    2.200531025301609588e+03,                    2.198786169339196931e+03,                    2.203104326527457943e+03,                    2.199014898368962804e+03,                    2.196110943739319282e+03,                    2.201174573384122596e+03,                    2.207795512140057781e+03,                    2.203683744528136231e+03,                    2.201048993335055911e+03,                    2.191330462829546377e+03,                    2.198469053655009247e+03,                    2.197601840122928479e+03,                    2.204286205005784723e+03,                    2.198987751600692263e+03,                    2.203439414660425427e+03,                    2.198900408697686998e+03,                    2.197629064412897151e+03
3.1000e-02,                    2.197068030116729915e+03,                    2.200002388125076322e+03,                    2.199312204804755311e+03,                    2.194987474952302364e+03,                    2.201740869078004835e+03,                    2.200637506327755545e+03,                    2.198934614054061967e+03,                    2.203194284123083889e+03,                    2.199072985001071174e+03,                    2.196205156330331647e+03,                    2.201346963503789993e+03,                    2.207812770379478025e+03,                    2.203789064366291313e+03,                    2.201101689943808196e+03,                    2.191477909400526187e+03,                    2.198630944266725692e+03,                    2.197721124286214035e+03,                    2.204339477168410667e+03,                    2.199049913751945496e+03,                    2.203558064766763891e+03,                    2.198931306359945665e+03,                    2.197711653478794688e+03
6.3000e-02,                    2.197492958112191900e+03,                    2.200578632960745381e+03,                    2.199686610445952283e+03,                    2.195701115254449633e+03,                    2.202158953223954541e+03,                    2.201050311008349126e+03,                    2.199234933987592285e+03,                    2.203390914473145585e+03,                    2.199230435501134707e+03,                    2.196618902259502192e+03,                    2.201592447104916573e+03,                    2.207906007433831292e+03,                    2.203935064886665714e+03,                    2.201433554937288136e+03,                    2.191937707092118671e+03,                    2.199191739438624609e+03,                    2.198190322521931193e+03,                    2.204622548633569295e+03,                    2.199349885869872651e+03,                    2.204046693621602572e+03,                    2.199195380103525622e+03,                    2.198302040252162442e+03
1.0670e-01,                    2.201638852071950168e+03,                    2.205230379424353032e+03,                    2.203829720039471795e+03,                    2.200675041998830238e+03,                    2.206283279732132542e+03,                    2.205593256359248244e+03,                    2.203440285679206681e+03,                    2.207199942552394532e+03,                    2.203183810260425162e+03,                    2.200932553861439828e+03,                    2.206072938550565141e+03,                    2.211181562839746221e+03,                    2.207504456321128600e+03,                    2.205267044395369339e+03,                    2.196588749431466567e+03,                    2.203653365072438646e+03,                    2.202785802037401481e+03,                    2.208620932533627638e+03,                    2.203315588359856065e+03,                    2.208273934502944030e+03,                    2.203014093141234298e+03,                    2.202597659464190201e+03
1.3606e-01,                    2.213023191966841296e+03,                    2.217675789269072084e+03,                    2.216667659640423608e+03,                    2.214005376379750487e+03,                    2.217909934782264372e+03,                    2.218318922010880215e+03,                    2.214477575444290778e+03,                    2.218726577319721400e+03,                    2.215384067642004538e+03,                    2.213366179058573834e+03,                    2.218553128497640500e+03,                    2.221431843509136343e+03,                    2.218564556903214907e+03,                    2.217138342795351491e+03,                    2.210143081877199620e+03,                    2.215824697041168292e+03,                    2.215495853624571282e+03,                    2.220492805182292159e+03,                    2.214500150864153511e+03,                    2.220818240221458836e+03,                    2.215284930118321427e+03,                    2.214160284048181438e+03
1.6363e-01,                    2.207756500871834760e+03,                    2.211686990898073873e+03,                    2.211545150669028772e+03,                    2.209802759588405934e+03,                    2.212438671104792775e+03,                    2.213015732469050818e+03,                    2.209543516669229120e+03,                    2.212579131788451377e+03,                    2.210051492465787760e+03,                    2.208296606607388640e+03,                    2.211192655313914656e+03,                    2.215141724645176510e+03,                    2.212944351517642190e+03,                    2.212220325351291649e+03,                    2.204473566448737074e+03,                    2.211038238352677126e+03,                    2.210606608998759839e+03,                    2.214409912703128612e+03,                    2.209096079819501938e+03,                    2.214982423488210770e+03,                    2.209350958693827579e+03,                    2.208864585091333083e+03
