      time,           p [     12.8     0.225         0],           p [    14.08     0.225         0],           p [    15.64     0.225         0],           p [     17.2     0.225         0],           p [    18.76     0.225         0],           p [    20.32     0.225         0],           p [    21.88     0.225         0],           p [    23.44     0.225         0],           p [       25     0.225         0],           p [    26.56     0.225         0],           p [    28.12     0.225         0],           p [    29.68     0.225         0],           p [    31.24     0.225         0],           p [     32.8     0.225         0],           p [    34.36     0.225         0],           p [    35.92     0.225         0],           p [    37.48     0.225         0],           p [    39.04     0.225         0],           p [     40.6     0.225         0],           p [    42.16     0.225         0],           p [    43.72     0.225         0],           p [    45.28     0.225         0]
0.0000e+00,                    2.208714633000000049e+03,                    2.208714633000000504e+03,                    2.208714633000001413e+03,                    2.208716833296379264e+03,                    2.208714633000001413e+03,                    2.208714633410578244e+03,                    2.208714633000000504e+03,                    2.208714666479199423e+03,                    2.208714633000000049e+03,                    2.208714647121707458e+03,                    2.208715199831308837e+03,                    2.208714633000000504e+03,                    2.208714633000000049e+03,                    2.208724493639612319e+03,                    2.208714656337717315e+03,                    2.208725897750462082e+03,                    2.208714633000000504e+03,                    2.208716619644918410e+03,                    2.208714815101401655e+03,                    2.208714633000000958e+03,                    2.208714633000000504e+03,                    2.208714633001700349e+03
1.0000e-03,                    2.195427868867613142e+03,                    2.196014545150402228e+03,                    2.192833674479121328e+03,                    2.194158022658881237e+03,                    2.196785868026410299e+03,                    2.191848925805932595e+03,                    2.194885402633323793e+03,                    2.194085570015459325e+03,                    2.194371492392391701e+03,                    2.192055354642926432e+03,                    2.194330943294796270e+03,                    2.195000174238085492e+03,                    2.191822815929187072e+03,                    2.193630927540896209e+03,                    2.194786250778622161e+03,                    2.194723261628575074e+03,                    2.195215802482798608e+03,                    2.195071095767119004e+03,                    2.195293982636982491e+03,                    2.196364874131195847e+03,                    2.193737286595542628e+03,                    2.194176711591660933e+03
3.0000e-03,                    2.199557611968377387e+03,                    2.201240991687882797e+03,                    2.201046915771608383e+03,                    2.200450810429231296e+03,                    2.202500892934117928e+03,                    2.194790696130396100e+03,                    2.199128374670102403e+03,                    2.199427258002439430e+03,                    2.198086069338919515e+03,                    2.195614599213679867e+03,                    2.196836764697240142e+03,                    2.196479563812164088e+03,                    2.195011757516562284e+03,                    2.196698880080832623e+03,                    2.196761955992280946e+03,                    2.199153097727433760e+03,                    2.197764822555885530e+03,                    2.200581208009592046e+03,                    2.201788927930132559e+03,                    2.198387225311844759e+03,                    2.197372253668071608e+03,                    2.201188929001903944e+03
7.0000e-03,                    2.199820368575233260e+03,                    2.201423005821607603e+03,                    2.201277469258363453e+03,                    2.200778521280353743e+03,                    2.202872288296325223e+03,                    2.194860555332127205e+03,                    2.199420642522719845e+03,                    2.199822288641042633e+03,                    2.198055007293704421e+03,                    2.195809617350869303e+03,                    2.197021687729211862e+03,                    2.196890041985363951e+03,                    2.195327807198087612e+03,                    2.197199281383032030e+03,                    2.197052442694338879e+03,                    2.199464228303950222e+03,                    2.197981027821269436e+03,                    2.200820289966266500e+03,                    2.202158542193722951e+03,                    2.198673825614497673e+03,                    2.197712747170137391e+03,                    2.201497788858941021e+03
1.5000e-02,                    2.199839225705738500e+03,                    2.201422409555594641e+03,                    2.201232494212323218e+03,                    2.200842041695793796e+03,                    2.202898592613843448e+03,                    2.194840543557725596e+03,                    2.199396104582236148e+03,                    2.199843153351311230e+03,                    2.198185564341220470e+03,                    2.195832735497741396e+03,                    2.197016662847206590e+03,                    2.196936881883341357e+03,                    2.195374575073800770e+03,                    2.197296106758967198e+03,                    2.197094697696996718e+03,                    2.199484824616095921e+03,                    2.198005741273231251e+03,                    2.200834355388371023e+03,                    2.202166467584676866e+03,                    2.198714602188297704e+03,                    2.197722530571219522e+03,                    2.201471103413704896e+03
3.1000e-02,                    2.199970953588442626e+03,                    2.201511565277296086e+03,                    2.201269420857691784e+03,                    2.200990128038514740e+03,                    2.202990949499938779e+03,                    2.194899936602510934e+03,                    2.199439834527889616e+03,                    2.199908030319597856e+03,                    2.198216971053628185e+03,                    2.195934603675069411e+03,                    2.197081837016442933e+03,                    2.197074822055465120e+03,                    2.195487804625812714e+03,                    2.197426380844898176e+03,                    2.197219975692577464e+03,                    2.199543903734121614e+03,                    2.198115494058744389e+03,                    2.200992075271254180e+03,                    2.202230234641936477e+03,                    2.198776171398349106e+03,                    2.197776379182611436e+03,                    2.201558256029383301e+03
6.3000e-02,                    2.200483364401056861e+03,                    2.201852214649737107e+03,                    2.201451635563212221e+03,                    2.201219462073177056e+03,                    2.203477569628657875e+03,                    2.195358971915627080e+03,                    2.199620491480743112e+03,                    2.200092824171683333e+03,                    2.198408718381273502e+03,                    2.196408025813721906e+03,                    2.197408053487474717e+03,                    2.197565654378269755e+03,                    2.195931002438371252e+03,                    2.198005508128694601e+03,                    2.197752929327923084e+03,                    2.199867030380918550e+03,                    2.198360581299200021e+03,                    2.201526164735278599e+03,                    2.202559476631976395e+03,                    2.199122937743829880e+03,                    2.197928888002309122e+03,                    2.201949721789344949e+03
1.2700e-01,                    2.202076523562229795e+03,                    2.202874759921550776e+03,                    2.202105734847834356e+03,                    2.202464456368025822e+03,                    2.204917749082414502e+03,                    2.196896875502726289e+03,                    2.200376768804555013e+03,                    2.200709740638446874e+03,                    2.199050443653533875e+03,                    2.197971689869319562e+03,                    2.198523187313933704e+03,                    2.199577434495142370e+03,                    2.197380414808979822e+03,                    2.199620764427537779e+03,                    2.199544891193636431e+03,                    2.200900181293682635e+03,                    2.199270187693604385e+03,                    2.203192920534804671e+03,                    2.203488953843242143e+03,                    2.200243299034470056e+03,                    2.198621270133574853e+03,                    2.203157633130459544e+03
1.6319e-01,                    2.223521803624357290e+03,                    2.221528665189740423e+03,                    2.220847006279343077e+03,                    2.220843135591021564e+03,                    2.224185940370948629e+03,                    2.219072446597375347e+03,                    2.218295321494192649e+03,                    2.219022639091067504e+03,                    2.219456626024812522e+03,                    2.220031438691362837e+03,                    2.218574058134436655e+03,                    2.219875367783110050e+03,                    2.218187475608624936e+03,                    2.221967907570356147e+03,                    2.220261392622152016e+03,                    2.220442364306734817e+03,                    2.218132138942500205e+03,                    2.222826185786677797e+03,                    2.223628474892481336e+03,                    2.220820206477179909e+03,                    2.218681973980164457e+03,                    2.224526502069953494e+03
1.8209e-01,                    2.226554838060334532e+03,                    2.223471285081742280e+03,                    2.222639468597077212e+03,                    2.223026165459535150e+03,                    2.226608380065369602e+03,                    2.221986400453414717e+03,                    2.220559164441225221e+03,                    2.220325845483841022e+03,                    2.222354516066199722e+03,                    2.223228348107662441e+03,                    2.221030146138275086e+03,                    2.223019722000229194e+03,                    2.221200698898281189e+03,                    2.225517082733992993e+03,                    2.223562845327918694e+03,                    2.223218451833915424e+03,                    2.220704894734969457e+03,                    2.224794072168630919e+03,                    2.226489333446860655e+03,                    2.224498024491399519e+03,                    2.221843609809219288e+03,                    2.227422199193892084e+03
